NOTATION,INSPECTION AREA,STREET_NO,STREET_NAME,DATA_STATUS,COMP_TYPE,STREET_DIRECTION,ADDRESS,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,NUMBER_KEY,COMMUNITY_CODE,COMMUNITY,ESRI_OID,
KEEP THE BUILDING VACANT,0890,753,EAST EPWORTH AV,CIVIL2  ,CBHCODE ,  ,753 EAST EPWORTH AV,VACANT  ,N,1396250,433722,021900520054      ,B201508228,40,SPRING GROVE VILLAGE,1,
CONDEMNATION,1430,6606,EAST LEDGE ST,CIVIL1  ,CBHCODE ,  ,6606 EAST LEDGE ST,VACANT  ,N,1434695,428408,003500040097      ,B201706758,50,MADISONVILLE,2,
CONDEMNATION,0590,4139,EASTERN AV,ORDERS  ,CBHCODEC,  ,4139 EASTERN AV,VACANT  ,N,1420687,409207,002400010083      ,BC20160370,37,LINWOOD,3,
KEEP THE BUILDING VACANT,0590,4229,EASTERN AV,ORDERS  ,CBHCODE ,  ,4229 EASTERN AV,VACANT  ,N,1421582,409427,002400020111      ,B201907488,37,LINWOOD,4,
CONDEMNATION,0590,4231,EASTERN AV,FINLNOTC,CBHCODE ,  ,4231 EASTERN AV,VACANT  ,N,1421596,409432,002400020112      ,B201705875,37,LINWOOD,5,
CONDEMNATION,0590,4323,EASTERN AV,HAZARD  ,CBHCODE ,  ,4323 EASTERN AV,VACANT  ,N,1422147,410023,002400020141      ,B201803965,37,LINWOOD,6,
CONDEMNATION,0590,4401,EASTERN AV,VSUSPEND,CBHCODE ,  ,4401 EASTERN AV,VACANT  ,N,1422719,410702,002400030156      ,B201604163,34,LINWOOD,7,
CONDEMNATION,0590,4407,EASTERN AV,VSUSPEND,CBHCODE ,  ,4407 EASTERN AV,VACANT  ,N,1422778,410754,002400030159      ,B201601722,34,LINWOOD,8,
KEEP THE BUILDING VACANT,0590,4452,EASTERN AV,HARDSHIP,CBHCODE ,  ,4452 EASTERN AV,VACANT  ,N,1423029,411370,002400030124      ,B201702332,37,LINWOOD,9,
CONDEMNATION,0590,4482,EASTERN AV,FINLNOTC,CBHCODE ,  ,4482 EASTERN AV,VACANT  ,N,1423243,411648,001600010077      ,B201609173,37,LINWOOD,10,
VACATE THE BUILDING,0590,4485,EASTERN AV,ORDERS  ,CBHCODE ,  ,4485 EASTERN AV,VACANT  ,N,1423276,411478,001600010129      ,B201906227,34,LINWOOD,11,
CONDEMNATION,0590,4485,EASTERN AV,ORDERS  ,CBHCODE ,  ,4485 EASTERN AV,VACANT  ,N,1423276,411478,001600010129      ,B201906227,34,LINWOOD,11,
CONDEMNATION,0590,4500,EASTERN AV,HAZARD  ,CBHCODE ,  ,4500 EASTERN AV,VACANT  ,N,1423363,411841,001600010086      ,B201305626,37,LINWOOD,12,
CONDEMNATION,0590,4550,EASTERN AV,CIVIL2  ,CBHCODE ,  ,4550 EASTERN AV,VACANT  ,N,1423723,412354,001600010109      ,B201804139,37,LINWOOD,13,
KEEP THE BUILDING VACANT,0590,4919,EASTERN AV,PETITION,CBHCODE ,  ,4919 EASTERN AV,VACANT  ,N,1425577,415179,001800030036      ,B201804164,34,LINWOOD,14,
KEEP THE BUILDING VACANT,0590,4923,EASTERN AV,CRIMINAL,CBHCODE ,  ,4923 EASTERN AV,VACANT  ,N,1425600,415212,001800030107      ,B201505104,34,LINWOOD,15,
CONDEMNATION,0850,3575,EDEN AV,HAZARD  ,CBHCODE ,  ,3575 EDEN AV,VACANT  ,N,1400261,424563,021600450112      ,B201702475,31,AVONDALE,16,
CONDEMNATION,0850,3590,EDEN AV,CIVIL2  ,CBHCODE ,  ,3590 EDEN AV,VACANT  ,N,1400422,424680,021600450113      ,B201702476,31,AVONDALE,17,
CONDEMNATION,1230,3738,EDGAR ST,ORDERS  ,CBHCODE ,  ,3738 EDGAR ST,VACANT  ,N,1373323,399863,015800620086      ,B201902667,49,SEDAMSVILLE-RIVERSIDE,18,
CONDEMNATION,1230,3750,EDGAR ST,ORDERS  ,CBHCODE ,  ,3750 EDGAR ST,VACANT  ,N,1373187,399797,015800620092      ,B201903400,49,SEDAMSVILLE-RIVERSIDE,19,
CONDEMNATION,0830,3828,EDGEHILL PL,VSUSPEND,CBHCODE ,  ,3828 EDGEHILL PL,VACANT  ,N,1403642,426698,011200020040      ,B201401374,32,AVONDALE,20,
KEEP THE BUILDING VACANT,1320,6206,EDWOOD AV,PREPROS ,CBHCODE ,  ,6206 EDWOOD AV,VACANT  ,N,1390939,444831,024700060026      ,B201608864,42,COLLEGE HILL,21,
KEEP THE BUILDING VACANT,0870,4032,EGBERT AV,ORDERS  ,CBHCODE ,  ,4032 EGBERT AV,VACANT  ,N,1396538,428794,021800590031      ,B201902877,18,CLIFTON,22,
CONDEMNATION,0850,24,EHRMAN AV,CIVIL1  ,CBHCODE ,  ,24 EHRMAN AV,VACANT  ,N,1399050,425597,021600460053      ,B201805400,31,AVONDALE,23,
KEEP THE BUILDING VACANT,0850,55,EHRMAN AV,VSUSPEND,CBHCODE ,  ,55 EHRMAN AV,VACANT  ,N,1399010,425327,021600470205      ,B201804519,31,AVONDALE,24,
CONDEMNATION,1130,418,ELBERON AV,HAZARD  ,CBHCODE ,  ,418 ELBERON AV,VACANT  ,N,1382116,406664,017700370172      ,B201603798,9,EAST PRICE HILL,25,
KEEP THE BUILDING VACANT,1130,482,ELBERON AV,ORDERS  ,CBHCODE ,  ,482 ELBERON AV,VACANT  ,N,1382173,407379,017700340056      ,B201903636,9,EAST PRICE HILL,26,
CONDEMNATION,1130,584,ELBERON AV,FINLNOTC,CBHCODE ,  ,584 ELBERON AV,VACANT  ,N,1382312,408704,017800260001      ,B201506423,9,EAST PRICE HILL,27,
KEEP THE BUILDING VACANT,1130,713,ELBERON AV,CIVIL1  ,CBHCODE ,  ,713 ELBERON AV,VACANT  ,N,1382090,409045,017600210106      ,B201504468,9,EAST PRICE HILL,28,
